"Tag_year","UK_dep","Ice_arrive_spring","year","ID","Ice_dep_spring","Green_arrive","Green_dep","attempt_start","attempt_end","length","pre_breed_length","Acc","attempt","success24","successall","ordinal","staging_length","Age","Mass","Sex","Ringing.location","prev_success","breeding_lat","breeding_long","Green_centre","laying_centre","failure_centre"
"17700_2019","2019-04-05",2019-04-06,2019,"17700",2019-05-05,"2019-05-06","2019-09-14","2019-06-01","2019-06-08",8,26,"Y",1,0,0,"early.fail",29,"A","2350","F","WEXF",1,72.273819,-54.418297,0,9,5
"17706_2019","2019-04-08",2019-04-09,2019,"17706",2019-05-03,"2019-05-07","2019-09-09","2019-05-27","2019-06-14",19,20,"Y",1,0,0,"late.fail",24,"A","2375","F","WEST",1,67.163895,-52.025055,1,4,11
"17739_2019","2019-04-05",2019-04-06,2019,"17739",2019-05-05,"2019-05-06","2019-09-14","2019-05-23","2019-06-01",10,17,"Y",1,0,0,"early.fail",29,"A","2500","F","WEXF",1,72.235214,-54.44553,0,0,-2
"17739_2020","2020-03-31",2020-04-02,2020,"17739",2020-05-08,"2020-05-10","2020-09-07","2020-06-01","2020-06-03",3,22,"Y",1,0,0,"early.fail",36,"A","2500","F","WEXF",1,72.2490805,-54.298555,3,7,-7.5
"17739_2021","2021-04-02",2021-04-04,2021,"17739",2021-05-05,"2021-05-07","2021-09-09","2021-06-07","2021-06-16",10,31,"Y",1,0,0,"early.fail",31,"A","2500","F","WEXF",0,72.247955,-54.371622,4,8.5,3
"17758_2019","2019-03-31",2019-04-01,2019,"17758",2019-05-03,"2019-05-05","2019-09-14","2019-06-03","2019-07-04",32,29,"Y",1,1,1,"success",32,"A","2200","F","WEST",1,69.413696,-50.530891,-1,11,31
"17759_2020","2020-04-04",2020-04-06,2020,"17759",2020-05-07,"2020-05-08","2020-09-02","2020-05-24","2020-06-22",30,16,"Y",1,1,1,"success",31,"A","2700","F","ISLA",1,67.255051,-50.079842,1,-1,11.5
"17759_2021","2021-04-14",2021-04-17,2021,"17759",2021-05-05,"2021-05-07","2021-08-29","2021-05-27","2021-06-04",9,20,"Y",1,0,0,"early.fail",18,"A","2700","F","ISLA",0,67.255325,-50.077621,4,-2.5,-9
"17760_2019","2019-03-31",2019-04-01,2019,"17760",2019-05-05,"2019-05-06","2019-09-02","2019-05-23","2019-05-30",8,17,"Y",1,0,0,"early.fail",34,"A","2350","F","LIRO",1,67.63472,-50.45068,0,0,-4
"17760_2020","2020-04-04",2020-04-06,2020,"17760",2020-05-06,"2020-05-09","2020-08-29","2020-05-25","2020-05-30",6,16,"Y",1,0,0,"early.fail",30,"A","2350","F","LIRO",1,67.629066,-50.483833,2,0,-11.5
